Time,atrium,kitchen,livingroom,toilet,bedroom,Room,bel(A),bel(K),bel(L),bel(T),bel(B)
227.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
228.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
229.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
230.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
231.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
232.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
233.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
234.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
235.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
236.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
237.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
238.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
239.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
240.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
241.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
242.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
243.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
244.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
245.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
246.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
247.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
248.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
249.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
250.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
251.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
252.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
253.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
254.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
255.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
256.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
257.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
258.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
259.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
260.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
261.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
262.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
263.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
264.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
265.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
266.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
267.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
268.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
269.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
270.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
271.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
272.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
