Time,atrium,kitchen,livingroom,toilet,bedroom,bel(A),bel(K),bel(L),bel(T),bel(B)
793.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
794.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
795.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
796.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
797.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
798.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
799.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
800.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
801.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
802.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
803.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
804.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
805.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
806.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
807.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
808.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
809.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
810.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
811.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
812.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
813.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
814.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
815.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
816.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
817.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
818.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
